Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
1,3601,ADILABAD,360108,ADILABAD (RURAL),36010800101,MPUPS JAMDAPUR,2,02_UPS,01_Govt_Localbody,Elementary,08_61 to 70,63,02_31-100,0.25,25000,25000,18000,4250,2750,
2,3601,ADILABAD,360108,ADILABAD (RURAL),36010800401,MPPS POCHARA,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,70,02_31-100,0.25,25000,25000,18000,4250,2750,
3,3601,ADILABAD,360108,ADILABAD (RURAL),36010800402,ZPHS POCHARA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,138,03_101-250,0.50,50000,50000,36000,8500,5500,
4,3601,ADILABAD,360108,ADILABAD (RURAL),36010800601,MPPS RAMPOOR(P),1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,41,02_31-100,0.25,25000,25000,18000,4250,2750,
5,3601,ADILABAD,360108,ADILABAD (RURAL),36010800701,MPPS BHEEMSERI,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,80,02_31-100,0.25,25000,25000,18000,4250,2750,
6,3601,ADILABAD,360108,ADILABAD (RURAL),36010800702,ZPHS BHEEMSERI,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,115,03_101-250,0.50,50000,50000,36000,8500,5500,
7,3601,ADILABAD,360108,ADILABAD (RURAL),36010800801,MPPS CHANDA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,161,03_101-250,0.50,50000,50000,36000,8500,5500,
8,3601,ADILABAD,360108,ADILABAD (RURAL),36010800802,ZPHS CHANDA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,138,03_101-250,0.50,50000,50000,36000,8500,5500,
9,3601,ADILABAD,360108,ADILABAD (RURAL),36010801001,MPPS LANDASANGVI,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,93,02_31-100,0.25,25000,25000,18000,4250,2750,
10,3601,ADILABAD,360108,ADILABAD (RURAL),36010801003,ZPHS LANDASANGVI,7,03_HS,01_Govt_Localbody,sec_hsec,09_71 to 80,74,02_31-100,0.25,25000,25000,18000,4250,2750,
